 ,X,Y
858,919.096,894.123
859,377.823,900.192
860,594.904,900.968
861,961.652,901.160
862,532.655,904.138
863,306.386,905.842
864,359.391,907.677
865,450.907,909.850
866,504.683,906.510
867,468.552,911.349
868,926.944,912.654
869,284.826,915.613
870,974.177,915.367
871,436.088,915.507
872,959.441,920.873
873,109.815,917.583
874,491.361,917.479
875,913.387,925.096
876,512.746,927.074
877,315.648,930.318
878,536.229,928.951
879,943.536,929.141
880,298.860,927.992
881,395.313,929.671
882,119.595,930.462
883,156.659,930.587
884,364.855,933.839
885,445.862,935.126
886,465.375,931.953
887,984.927,938.269
888,495.649,939.382
889,336.866,941.595
890,380.722,937.783
891,919.578,941.814
892,309.073,946.619
893,463.925,946.157
894,171.492,948.684
895,287.829,946.780
896,944.202,944.599
897,405.599,949.005
898,612.366,946.622
899,972.296,953.291
900,144.664,949.561
901,189.340,951.547
902,375.171,949.087
903,513.374,952.684
904,486.360,954.363
905,934.575,958.914
906,162.821,957.786
907,613.001,962.434
908,458.728,964.143
909,533.340,963.608
910,644.905,960.813
911,953.860,964.952
912,499.304,963.793
913,411.506,967.351
914,637.053,972.009
915,919.887,973.381
916,148.595,968.291
917,553.335,967.768
918,690.202,969.054
919,185.218,972.526
920,202.037,972.109
921,474.267,975.508
922,981.218,974.879
923,939.014,976.195
924,157.786,982.834
925,1009.965,983.108
926,666.672,978.945
927,616.244,984.887
928,685.337,991.491
929,170.966,988.436
930,401.281,990.190
931,424.673,988.292
932,588.014,989.595
933,949.606,986.124
934,972.128,988.037
935,991.553,986.580
936,186.081,988.927
937,244.150,994.742
938,147.284,998.378
939,471.231,998.817
940,559.803,997.960
941,637.904,999.616
942,454.130,1004.127
943,948.128,1001.544
944,923.530,1003.251
945,1021.344,1006.239
946,431.822,1007.164
947,967.858,1004.301
948,163.863,1008.545
949,190.131,1008.203
950,990.857,1006.735
951,413.129,1005.692
952,616.383,1009.907
953,212.294,1012.443
954,232.260,1010.740
955,179.002,1016.658
956,243.085,1018.380
957,419.156,1020.945
958,923.200,1024.765
959,988.852,1020.380
960,219.788,1024.090
961,473.627,1023.220
962,1009.976,1023.819
963,974.509,1026.944
964,197.663,1029.030
965,172.480,1032.864
966,631.336,1033.730
967,263.127,1036.310
968,246.765,1037.034
969,1000.248,1035.983
970,16.430,1039.477
971,222.318,1037.724
972,1019.668,1038.044
973,1035.689,1043.005
974,196.221,1048.348
975,479.351,1051.986
976,440.243,1053.112
977,178.280,1053.112
978,1023.236,1053.212
979,1045.870,1055.913
980,222.204,1055.246
981,270.967,1058.525
982,945.019,1059.715
983,14.180,1065.012
984,206.262,1059.161
985,1012.214,1061.558
986,36.431,1068.181
987,250.775,1069.766
988,1040.199,1070.948
989,221.519,1073.665
990,192.717,1075.483
991,477.184,1073.659
992,270.945,1077.262
993,660.651,1078.658
994,946.323,1079.026
995,1024.206,1081.834
996,932.752,1083.918
997,28.017,1089.414
998,484.222,1090.016
999,212.202,1092.064
1000,241.672,1090.860
1001,677.129,1091.730
1002,49.260,1096.706
1003,254.631,1094.026
1004,228.626,1096.542
1005,511.610,1102.855
1006,725.096,1097.062
1007,290.744,1101.079
1008,465.475,1104.028
1009,1050.357,1105.775
1010,953.012,1103.917
1011,265.420,1103.783
1012,740.485,1106.243
1013,684.941,1106.756
1014,928.374,1104.952
1015,16.108,1109.384
1016,489.428,1106.686
